# epsilon     r     avg_deviation
0.0766     9     693.764
0.0767     9     693.764
0.0768     9     693.764
0.0769     9     693.764
0.077     9     693.764
0.0771     9     693.764
0.0772     9     693.764
0.0773     9     693.764
0.0774     9     693.764
0.0775     9     693.764
0.0776     9     693.764
0.0777     9     693.764
0.0778     9     693.764
0.0779     9     693.764
0.078     9     693.764
0.0781     9     693.764
0.0782     9     693.764
0.0783     9     693.764
0.0784     9     693.764
0.0785     9     693.764
0.0786     9     693.764
0.0787     9     693.764
0.0788     9     693.764
0.0789     9     693.764
0.079     9     693.764
0.0791     9     693.764
0.0792     9     693.764
0.0793     9     693.764
0.0794     9     693.764
0.0795     9     693.764
0.0796     9     693.764
0.0797     9     693.764
0.0798     9     693.764
0.0799     9     693.764
0.08     9     693.764
0.0801     9     693.764
0.0802     9     693.764
0.0803     9     693.764
0.0804     9     693.764
0.0805     9     693.764
0.0806     9     693.764
0.0807     9     693.764
0.0808     9     693.764
0.0809     9     693.764
0.081     9     693.764
0.0811     9     693.764
0.0812     9     693.764
0.0813     9     693.764
0.0814     9     693.764
0.0815     9     693.764
0.0816     9     693.764
0.0817     9     693.764
0.0818     9     693.764
0.0819     9     693.764
0.082     9     693.764
0.0821     9     693.764
0.0822     9     693.764
0.0823     9     693.764
0.0824     9     693.764
0.0825     9     693.764
0.0826     9     693.764
0.0827     9     693.764
0.0828     9     693.764
0.0829     9     693.764
0.083     9     693.764
0.0831     9     693.764
0.0832     9     693.764
0.0833     9     693.764
0.0834     9     693.764
0.0835     9     693.764
0.0836     9     693.764
0.0837     9     693.764
0.0838     9     693.764
0.0839     9     693.764
0.084     9     693.764
0.0841     9     693.764
0.0842     9     693.764
0.0843     9     693.764
0.0844     9     693.764
0.0845     9     693.764
0.0846     9     693.764
0.0847     9     693.764
0.0848     9     693.764
0.0849     9     693.764
0.085     9     693.764
0.0851     9     693.764
0.0852     9     693.764
0.0853     9     693.764
0.0854     9     693.764
0.0855     9     693.764
0.0856     9     693.764
0.0857     9     693.764
0.0858     9     693.764
0.0859     9     693.764
0.086     9     693.764
0.0861     9     693.764
0.0862     9     693.764
0.0863     9     693.764
0.0864     9     693.764
0.0865     9     693.764
0.0866     9     693.764
0.0867     9     693.764
0.0868     9     693.764
0.0869     9     693.764
0.087     9     693.764
0.0871     9     693.764
0.0872     9     693.764
0.0873     9     693.764
0.0874     9     693.764
0.0875     9     693.764
0.0876     9     693.764
0.0877     9     693.764
0.0878     9     693.764
0.0879     9     693.764
0.088     9     693.764
0.0881     9     693.764
0.0882     9     693.764
0.0883     9     693.764
0.0884     9     693.764
0.0885     9     693.764
0.0886     9     693.764
0.0887     9     693.764
0.0888     9     693.764
0.0889     9     693.764
0.089     9     693.764
0.0891     9     693.764
0.0892     9     693.764
0.0893     9     693.764
0.0894     9     693.764
0.0895     9     693.764
0.0896     9     693.764
0.0897     9     693.764
0.0898     9     693.764
0.0899     9     693.764
0.09     9     693.764
0.0901     9     693.764
0.0902     9     693.764
0.0903     9     693.764
0.0904     9     693.764
0.0905     9     693.764
0.0906     9     693.764
0.0907     9     693.764
0.0908     9     693.764
0.0909     9     693.764
0.091     9     693.764
0.0911     9     693.764
0.0912     9     693.764
0.0913     9     693.764
0.0914     9     693.764
0.0915     9     693.764
0.0916     9     693.764
0.0917     9     693.764
0.0918     9     693.764
0.0919     9     693.764
0.092     9     693.764
0.0921     9     693.764
0.0922     9     693.764
0.0923     9     693.764
0.0924     9     693.764
0.0925     9     693.764
0.0926     9     693.764
0.0927     9     693.764
0.0928     9     693.764
0.0929     9     693.764
0.093     9     693.764
0.0931     9     693.764
0.0932     9     693.764
0.0933     9     693.764
0.0934     9     693.764
0.0935     9     693.764
0.0936     9     693.764
0.0937     9     693.764
0.0938     9     693.764
0.0939     9     693.764
0.094     9     693.764
0.0941     9     693.764
0.0942     9     693.764
0.0943     9     693.764
0.0944     9     693.764
0.0945     9     693.764
0.0946     9     693.764
0.0947     9     693.764
0.0948     9     693.764
0.0949     9     693.764
0.095     9     693.764
0.0951     9     693.764
0.0952     9     693.764
0.0953     9     693.764
0.0954     9     693.764
0.0955     9     693.764
0.0956     9     693.764
0.0957     9     693.764
0.0958     9     693.764
0.0959     9     693.764
0.096     9     693.764
0.0961     9     693.764
0.0962     9     693.764
0.0963     9     693.764
0.0964     9     693.764
0.0965     9     693.764
0.0966     9     693.764
0.0967     9     693.764
0.0968     9     693.764
0.0969     9     693.764
0.097     9     693.764
0.0971     9     693.764
0.0972     9     693.764
0.0973     9     693.764
0.0974     9     693.764
0.0975     9     693.764
0.0976     9     693.764
0.0977     9     693.764
0.0978     9     693.764
0.0979     9     693.764
0.098     9     693.764
0.0981     9     693.764
0.0982     9     693.764
0.0983     9     693.764
0.0984     9     693.764
0.0985     9     693.764
0.0986     9     693.764
0.0987     9     693.764
0.0988     9     693.764
0.0989     9     693.764
0.099     9     693.764
0.0991     9     693.764
0.0992     9     693.764
0.0993     9     693.764
0.0994     9     693.764
0.0995     9     693.764
0.0996     9     693.764
0.0997     9     693.764
0.0998     9     693.764
0.0999     9     693.764
0.1     9     693.764
0.1001     9     693.764
0.1002     9     693.764
0.1003     9     693.764
0.1004     9     693.764
0.1005     9     693.764
0.1006     9     693.764
0.1007     9     693.764
0.1008     9     693.764
0.1009     9     693.764
0.101     9     693.764
0.1011     9     693.764
0.1012     9     693.764
0.1013     9     693.764
0.1014     9     693.764
0.1015     9     693.764
0.1016     9     693.764
0.1017     9     693.764
0.1018     9     693.764
0.1019     9     693.764
0.102     9     693.764
0.1021     9     693.764
0.1022     9     693.764
0.1023     9     693.764
0.1024     9     693.764
0.1025     9     693.764
0.1026     9     693.764
0.1027     9     693.764
0.1028     9     693.764
0.1029     9     693.764
0.103     9     693.764
0.1031     9     693.764
0.1032     9     693.764
0.1033     9     693.764
0.1034     9     693.764
0.1035     9     693.764
0.1036     9     693.764
0.1037     9     693.764
0.1038     9     693.764
0.1039     9     693.764
0.104     9     693.764
0.1041     9     693.764
0.1042     9     693.764
0.1043     9     693.764
0.1044     9     693.764
0.1045     9     693.764
0.1046     9     693.764
0.1047     9     693.764
0.1048     9     693.764
0.1049     9     693.764
0.105     9     693.764
0.1051     9     693.764
0.1052     9     693.764
0.1053     9     693.764
0.1054     9     693.764
0.1055     9     693.764
0.1056     9     693.764
0.1057     9     693.764
0.1058     9     693.764
0.1059     9     693.764
0.106     9     693.764
0.1061     9     693.764
0.1062     9     693.764
0.1063     9     693.764
0.1064     9     693.764
0.1065     9     693.764
0.1066     9     693.764
0.1067     9     693.764
0.1068     9     693.764
0.1069     9     693.764
0.107     9     693.764
0.1071     9     693.764
0.1072     9     693.764
0.1073     9     693.764
0.1074     9     693.764
0.1075     9     693.764
0.1076     9     693.764
0.1077     9     693.764
0.1078     9     693.764
0.1079     9     693.764
0.108     9     693.764
0.1081     9     693.764
0.1082     9     693.764
0.1083     9     693.764
0.1084     9     693.764
0.1085     9     693.764
0.1086     9     693.764
0.1087     9     693.764
0.1088     9     693.764
0.1089     9     693.764
0.109     9     693.764
0.1091     9     693.764
0.1092     9     693.764
0.1093     9     693.764
0.1094     9     693.764
0.1095     9     693.764
0.1096     9     693.764
0.1097     9     693.764
0.1098     9     693.764
0.1099     9     693.764
0.11     9     693.764
0.1101     9     693.764
0.1102     9     693.764
0.1103     9     693.764
0.1104     9     693.764
0.1105     9     693.764
0.1106     9     693.764
0.1107     9     693.764
0.1108     9     693.764
0.1109     9     693.764
0.111     9     693.764
0.1111     9     693.764
0.1112     9     693.764
0.1113     9     693.764
0.1114     9     693.764
0.1115     9     693.764
0.1116     9     693.764
0.1117     9     693.764
0.1118     9     693.764
0.1119     9     693.764
0.112     9     693.764
0.1121     9     693.764
0.1122     9     693.764
0.1123     9     693.764
0.1124     9     693.764
0.1125     9     693.764
0.1126     9     693.764
0.1127     9     693.764
0.1128     9     693.764
0.1129     9     693.764
0.113     9     693.764
0.1131     9     693.764
0.1132     9     693.764
0.1133     9     693.764
0.1134     9     693.764
0.1135     9     693.764
0.1136     9     693.764
0.1137     9     693.764
0.1138     9     693.764
0.1139     9     693.764
0.114     9     693.764
0.1141     9     693.764
0.1142     9     693.764
0.1143     9     693.764
0.1144     9     693.764
0.1145     9     693.764
0.1146     9     693.764
0.1147     9     693.764
0.1148     9     693.764
0.1149     9     693.764
0.115     9     693.764
0.1151     9     693.764
0.1152     9     693.764
0.1153     9     693.764
0.1154     9     693.764
0.1155     9     693.764
0.1156     9     693.764
0.1157     9     693.764
0.1158     9     693.764
0.1159     9     693.764
0.116     9     693.764
0.1161     9     693.764
0.1162     9     693.764
0.1163     9     693.764
0.1164     9     693.764
0.1165     9     693.764
0.1166     9     693.764
0.1167     9     693.764
0.1168     9     693.764
0.1169     9     693.764
0.117     9     693.764
0.1171     9     693.764
0.1172     9     693.764
0.1173     9     693.764
0.1174     9     693.764
0.1175     9     693.764
0.1176     9     693.764
0.1177     9     693.764
0.1178     9     693.764
0.1179     9     693.764
0.118     9     693.764
0.1181     9     693.764
0.1182     9     693.764
0.1183     9     693.764
0.1184     9     693.764
0.1185     9     693.764
0.1186     9     693.764
0.1187     9     693.764
0.1188     9     693.764
0.1189     9     693.764
0.119     9     693.764
0.1191     9     693.764
0.1192     9     693.764
0.1193     9     693.764
0.1194     9     693.764
0.1195     9     693.764
0.1196     9     693.764
0.1197     9     693.764
0.1198     9     693.764
0.1199     9     693.764
0.12     9     693.764
0.1201     9     693.764
0.1202     9     693.764
0.1203     9     693.764
0.1204     9     693.764
0.1205     9     693.764
0.1206     9     693.764
0.1207     9     693.764
0.1208     9     693.764
0.1209     9     693.764
0.121     9     693.764
0.1211     9     693.764
0.1212     9     693.764
0.1213     9     693.764
0.1214     9     693.764
0.1215     9     693.764
0.1216     9     693.764
0.1217     9     693.764
0.1218     9     693.764
0.1219     9     693.764
0.122     9     693.764
0.1221     9     693.764
0.1222     9     693.764
0.1223     9     693.764
0.1224     9     693.764
0.1225     9     693.764
0.1226     9     693.764
0.1227     9     693.764
0.1228     9     693.764
0.1229     9     693.764
0.123     9     693.764
0.1231     9     693.764
0.1232     9     693.764
0.1233     9     693.764
0.1234     9     693.764
0.1235     9     693.764
0.1236     9     693.764
0.1237     9     693.764
0.1238     9     693.764
0.1239     9     693.764
0.124     9     693.764
0.1241     9     693.764
0.1242     9     693.764
0.1243     9     693.764
0.1244     9     693.764
0.1245     9     693.764
